What type of vehicle do you use?,What is the fuel type of your vehicle,How often do you use your vehicle?,How would you describe your driving style,How often do you accelerate quickly?,How often do you apply sudden brakes?,What is your average driving speed?,What type of traffic do you usually experience?,How often do you face traffic congestion?,Do you often drive in stop-and-go traffic?,How would you rate your vehicle’s fuel consumption?,How often do you refuel your vehicle?,Approximately how much fuel do you use per week?,Do you think your driving behavior affects fuel consumption?,Are you using the QR-based fuel system?,Is the allocated fuel sufficient for your weekly needs?,Has fuel limitation changed your travel behavior?,What changes have you made due to fuel limits?,Distance (km)
2,2,Daily,2,Never,Sometimes,2,2,Sometimes,Yes,2,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,145
1,2,Daily,1,Sometimes,Never,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,488
4,1,Daily,3,Sometimes,Often,2,3,Frequently,Yes,3,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,287
5,1,Daily,3,Often,Sometimes,2,3,Frequently,Yes,2,More than twice,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,520
1,1,Daily,3,Often,Often,4,2,Frequently,No,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,321
3,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,Yes,Yes,Driving more carefully,431
1,1,Daily,2,Sometimes,Sometimes,4,2,Frequently,Yes,3,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,241
2,2,Occasionally,3,Sometimes,Often,3,3,Frequently,Yes,3,Once a week,81–100 Liters,No,Yes,No,Yes,Reduced travel,375
5,1,Several times a week,2,Often,Sometimes,2,3,Frequently,Yes,1,Twice a week,Less than 10 Liters,Not sure,Yes,Yes,Yes,Changed routes,243
1,2,Several times a week,1,Never,Never,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,212
4,1,Daily,2,Sometimes,Sometimes,2,1,Rarely,No,2,More than twice,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,368
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,No,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,172
5,1,Occasionally,2,Sometimes,Never,3,2,Frequently,No,1,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,75
5,1,Several times a week,1,Sometimes,Never,2,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Driving more carefully,130
1,2,Daily,3,Often,Often,3,3,Frequently,Yes,3,More than twice,10–20 Liters,Yes,Yes,Yes,No,No change,120
4,1,Daily,2,Sometimes,Sometimes,3,2,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,257
1,2,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,344
4,1,Daily,2,Never,Sometimes,3,2,Sometimes,Yes,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,436
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,388
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,No,Yes,No,No change,255
1,1,Several times a week,2,Sometimes,Sometimes,4,2,Frequently,No,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,492
4,1,Daily,1,Never,Never,2,2,Sometimes,Yes,2,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,289
1,2,Several times a week,1,Never,Never,2,2,Sometimes,No,2,Twice a week,21–40 Liters,No,Yes,No,Yes,Reduced travel,375
1,2,Several times a week,3,Often,Often,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,196
4,1,Daily,1,Never,Never,2,1,Rarely,No,2,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,362
1,1,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,362
4,1,Several times a week,2,Sometimes,Often,2,1,Rarely,No,2,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,88
5,1,Daily,2,Sometimes,Never,3,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,185
4,1,Daily,2,Sometimes,Never,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Not sure,Yes,No,Yes,Reduced travel,350
1,1,Daily,2,Sometimes,Never,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,282
5,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,1,Once a week,Less than 10 Liters,No,Yes,Yes,No,No change,472
1,1,Several times a week,1,Never,Sometimes,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,446
2,2,Several times a week,2,Sometimes,Sometimes,3,1,Rarely,No,3,Twice a week,61–80 Liters,Yes,Yes,No,Yes,Reduced travel,295
3,2,Several times a week,2,Sometimes,Sometimes,2,1,Rarely,No,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,421
2,2,Several times a week,3,Often,Often,3,2,Sometimes,Yes,3,Twice a week,81–100 Liters,Yes,No,Yes,No,No change,330
4,1,Daily,3,Often,Often,4,2,Sometimes,Yes,3,More than twice,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,143
4,1,Daily,1,Never,Never,3,1,Rarely,No,2,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,420
1,2,Occasionally,2,Sometimes,Sometimes,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,Yes,Reduced travel,288
1,1,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Not sure,Yes,No,Yes,Changed routes,462
5,1,Daily,2,Sometimes,Often,3,1,Rarely,No,1,Once a week,Less than 10 Liters,Yes,Yes,Yes,Yes,Changed routes,112
4,1,Occasionally,2,Sometimes,Never,2,2,Sometimes,Yes,2,Once a week,Less than 10 Liters,Not sure,Yes,No,Yes,Driving more carefully,226
2,2,Daily,1,Sometimes,Never,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,145
1,2,Several times a week,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,392
3,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,560
1,2,Daily,3,Often,Often,3,2,Sometimes,Yes,3,More than twice,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,266
2,2,Several times a week,2,Sometimes,Sometimes,4,2,Sometimes,Yes,3,Twice a week,61–80 Liters,No,Yes,No,Yes,Reduced travel,310
5,1,Daily,3,Often,Often,3,2,Sometimes,No,2,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,348
2,2,Daily,1,Never,Never,1,3,Frequently,Yes,3,Twice a week,81–100 Liters,Yes,Yes,No,Yes,Reduced travel,395
4,1,Several times a week,3,Often,Sometimes,4,2,Frequently,No,3,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Changed routes,453
1,1,Occasionally,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Changed routes,134
5,1,Several times a week,1,Never,Never,3,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,202
4,1,Occasionally,1,Sometimes,Never,2,1,Rarely,No,2,Once a week,Less than 10 Liters,Yes,Yes,Yes,Yes,Driving more carefully,182
4,1,Daily,3,Sometimes,Often,3,2,Sometimes,No,3,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,121
4,1,Daily,1,Sometimes,Never,2,2,Sometimes,Yes,2,More than twice,10–20 Liters,Yes,No,Yes,No,No change,349
1,1,Daily,2,Never,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,350
4,1,Several times a week,2,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,381
4,1,Daily,1,Never,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Changed routes,421
1,1,Occasionally,1,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Changed routes,190
1,1,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,284
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,No,1,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,54
4,1,Several times a week,3,Often,Often,3,2,Sometimes,Yes,3,More than twice,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,425
5,1,Daily,2,Sometimes,Often,2,2,Sometimes,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,Yes,Yes,Driving more carefully,280
1,1,Daily,1,Sometimes,Never,1,3,Frequently,Yes,2,Once a week,21–40 Liters,Not sure,Yes,No,Yes,Reduced travel,394
1,1,Daily,2,Never,Never,3,2,Sometimes,Yes,3,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,253
